SEQ,,合計,ドラッグストア,デパート,ブランド専門のインターネット通信販売,大型スーパー,化粧品専門店,インターネット以外の通信販売,その他,ディスカウント系のインターネット通信販売,バラエティショップ,コンビニエンスストア,食品スーパー,ディスカウントショップ（ドンキホーテ等）,ホームセンター
1473,潤い感,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1474,パール粒子,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1475,｡仕上がり,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1476,SPF25PA++,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1477,仕方,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1478,こだわり,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1479,パクトケース,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1480,練り状タイプファンデーション,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1481,'GOOD',1,0,0,0,0,0,0,0,0,0,0,0,1,0
1482,脂肌,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1483,ローソン,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1484,密着効果,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1485,クリーム系,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1486,ところたま,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1487,２５ｇ,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1488,･すべすべ,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1489,高級化粧品,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1490,機能性,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1491,ときノリ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1492,無鉱物質,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1493,化粧負け,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1494,添加,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1495,ダレ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1496,一日安心,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1497,生協仕様,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1498,黄色,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1499,細やかさ,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1500,肌地,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1501,半練りタイプ,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1502,９５０円,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1503,色ＮＯ.,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1504,生活紫外線防止配合,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1505,マット系,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1506,ホワイトニング重視,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1507,適量乾燥,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1508,乳液みたい,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1509,カタログ,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1510,フィットスル,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1511,ブランドイメージ自体,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1512,それ以外,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1513,大幅,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1514,カジュアル,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1515,最先端コスメ,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1516,口元,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1517,')。',1,0,1,0,0,0,0,0,0,0,0,0,0,0
1518,クチコミ,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1519,ブランド全体,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1520,残り,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1521,紹介,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1522,衣服,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523,メーカーイメージ,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1524,中肌,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1525,トリートメント成分,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1526,スティック式,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1527,親しみ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1528,薄づきタイプ,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1529,もち化粧崩れ,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1530,金属アレルギー対応,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1531,成分的,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1532,直接,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1533,天然由来100％,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1534,経済,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1535,松たかこさん,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1536,びがよくてとても使い,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1537,自然的,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1538,何時,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1539,印象的,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1540,シッカリ薄付き,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1541,使用可,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1542,時期,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1543,特徴,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1544,ガ,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1545,エリクシール,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1546,化粧時間,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1547,状,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1548,仕上がり顔,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1549,３色,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1550,所資生堂,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1551,当時,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1552,オーソドックス,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1553,ぴったり,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1554,日焼,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1555,ヒット,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1556,配達時間,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1557,伸び具合,1,1,0,0,0,0,0,0,0,0,0,0,0,0
